request_id,manufacturer,product_family,requested_part,part_key,selection_state,status,official_lookup_url,local_path,sha256,revision,document_date
CAD-0001,Siemens,SIMATIC S7-1200 classic,CPU 1212C DC/DC/DC,6ES7212-1AE40-0XB0,Exact catalog seed,linked_local,https://www.siemens.com/cax,/home/egrantjr/Documents/Reference Library/Manuals & Datasheets/6ES72121AE400XB0_datasheet_en.pdf,99153e5bfee30d1e5853bd23595554f4080ae79223638fd46ecf11d57e3e655c,,
CAD-0002,Siemens,SIMATIC S7-1200 classic,CPU 1214C DC/DC/DC,6ES7214-1AG40-0XB0,Exact catalog seed,pending_download,https://www.siemens.com/cax,,,,
CAD-0003,Siemens,SIMATIC S7-1200 classic,CPU 1215C DC/DC/DC,6ES7215-1AG40-0XB0,Exact catalog seed,pending_download,https://www.siemens.com/cax,,,,
CAD-0004,Siemens,SIMATIC S7-1200 classic,CPU 1212FC DC/DC/DC,6ES7212-1AF40-0XB0,Exact catalog seed,pending_download,https://www.siemens.com/cax,,,,
CAD-0005,Siemens,SIMATIC S7-1200 classic,CPU 1212C AC/DC/relay,6ES7212-1BE40-0XB0,Exact catalog seed,pending_download,https://www.siemens.com/cax,,,,
CAD-0006,Siemens,SIMATIC S7-1200 classic,CPU 1214C DC/DC/relay,Siemens CPU 1214C DC/DC/relay,Configuration required,pending_part_selection,https://www.siemens.com/cax,,,,
CAD-0007,Siemens,SIMATIC S7-1200 classic,CPU 1215C DC/DC/relay,Siemens CPU 1215C DC/DC/relay,Configuration required,pending_part_selection,https://www.siemens.com/cax,,,,
CAD-0008,Siemens,SIMATIC S7-1200 G2,CPU 1212C G2 DC/DC/DC,Siemens CPU 1212C G2 DC/DC/DC,Configuration required,pending_part_selection,https://www.siemens.com/cax,,,,
CAD-0009,Siemens,SIMATIC S7-1200 G2,CPU 1214C G2 DC/DC/DC,Siemens CPU 1214C G2 DC/DC/DC,Configuration required,pending_part_selection,https://www.siemens.com/cax,,,,
CAD-0010,Siemens,SIMATIC S7-1200 G2,S7-1200 G2 F-CPU,Siemens S7-1200 G2 F-CPU,Configuration required,pending_part_selection,https://www.siemens.com/cax,,,,
CAD-0011,Siemens,SIMATIC Memory Card,24 MB memory card,6ES7954-8LF03-0AA0,Exact catalog seed,pending_download,https://www.siemens.com/cax,,,,
CAD-0012,Siemens,SIMATIC Memory Card,Additional supported capacities,Siemens 6ES7954 memory card,Configuration required,pending_part_selection,https://www.siemens.com/cax,,,,
CAD-0013,Siemens,SIMATIC S7-1200 SM,SM 1221 DI 8 24 VDC,6ES7221-1BF32-0XB0,Exact catalog seed,pending_download,https://www.siemens.com/cax,,,,
CAD-0014,Siemens,SIMATIC S7-1200 SM,SM 1221 DI 16 24 VDC,6ES7221-1BH32-0XB0,Exact catalog seed,pending_download,https://www.siemens.com/cax,,,,
CAD-0015,Siemens,SIMATIC S7-1200 SM,SM 1222 DQ 8 transistor,6ES7222-1BF32-0XB0,Exact catalog seed,pending_download,https://www.siemens.com/cax,,,,
CAD-0016,Siemens,SIMATIC S7-1200 SM,SM 1222 DQ 16 transistor,6ES7222-1BH32-0XB0,Exact catalog seed,pending_download,https://www.siemens.com/cax,,,,
CAD-0017,Siemens,SIMATIC S7-1200 SM,SM 1222 DQ 8 relay,6ES7222-1HF32-0XB0,Exact catalog seed,pending_download,https://www.siemens.com/cax,,,,
CAD-0018,Siemens,SIMATIC S7-1200 SM,SM 1222 DQ 16 relay,6ES7222-1HH32-0XB0,Exact catalog seed,pending_download,https://www.siemens.com/cax,,,,
CAD-0019,Siemens,SIMATIC S7-1200 SM,SM 1223 DI8/DQ8 transistor,6ES7223-1BH32-0XB0,Exact catalog seed,pending_download,https://www.siemens.com/cax,,,,
CAD-0020,Siemens,SIMATIC S7-1200 SM,SM 1223 DI16/DQ16 transistor,Siemens SM 1223 DI16 DQ16 S7-1200,Configuration required,pending_part_selection,https://www.siemens.com/cax,,,,
CAD-0021,Siemens,SIMATIC S7-1200 SM,SM 1231 AI 4 voltage/current,6ES7231-4HD32-0XB0,Exact catalog seed,pending_download,https://www.siemens.com/cax,,,,
CAD-0022,Siemens,SIMATIC S7-1200 SM,SM 1231 AI 8 voltage/current,6ES7231-4HF32-0XB0,Exact catalog seed,pending_download,https://www.siemens.com/cax,,,,
CAD-0023,Siemens,SIMATIC S7-1200 SM,SM 1231 RTD AI 4,6ES7231-5PD32-0XB0,Exact catalog seed,pending_download,https://www.siemens.com/cax,,,,
CAD-0024,Siemens,SIMATIC S7-1200 SM,SM 1231 RTD AI 8,6ES7231-5PF32-0XB0,Exact catalog seed,pending_download,https://www.siemens.com/cax,,,,
CAD-0025,Siemens,SIMATIC S7-1200 SM,SM 1231 TC AI 4,6ES7231-5QD32-0XB0,Exact catalog seed,pending_download,https://www.siemens.com/cax,,,,
CAD-0026,Siemens,SIMATIC S7-1200 SM,SM 1231 TC AI 8,6ES7231-5QF32-0XB0,Exact catalog seed,pending_download,https://www.siemens.com/cax,,,,
CAD-0027,Siemens,SIMATIC S7-1200 SM,SM 1232 AQ 2,6ES7232-4HB32-0XB0,Exact catalog seed,pending_download,https://www.siemens.com/cax,,,,
CAD-0028,Siemens,SIMATIC S7-1200 SM,SM 1232 AQ 4,6ES7232-4HD32-0XB0,Exact catalog seed,pending_download,https://www.siemens.com/cax,,,,
CAD-0029,Siemens,SIMATIC S7-1200 SM,SM 1234 AI4/AQ2,6ES7234-4HE32-0XB0,Exact catalog seed,pending_download,https://www.siemens.com/cax,,,,
CAD-0030,Siemens,SIMATIC S7-1200 SM,SM 1278 IO-Link Master,6ES7278-4BD32-0XB0,Exact catalog seed,pending_download,https://www.siemens.com/cax,,,,
CAD-0031,Siemens,SIMATIC S7-1200 F-I/O,SM 1226 F-DI 16,6ES7226-6BA32-0XB0,Exact catalog seed,pending_download,https://www.siemens.com/cax,,,,
CAD-0032,Siemens,SIMATIC S7-1200 F-I/O,SM 1226 F-DQ 4 24 VDC,6ES7226-6DA32-0XB0,Exact catalog seed,pending_download,https://www.siemens.com/cax,,,,
CAD-0033,Siemens,SIMATIC S7-1200 F-I/O,SM 1226 F-DQ relay 2,6ES7226-6RA32-0XB0,Exact catalog seed,pending_download,https://www.siemens.com/cax,,,,
