RequestID,System,Category,ManufacturerPreference,ProductFamily,RequestedPart,MLFBOrSearchKey,PartSelection,Priority,ThreeDModel,TwoDDrawing,IECSymbol,NFPAJICSymbol,TerminalPinMap,ElectricalMacro,CableWorkbenchAsset,SourceURL,SourceBasis,VerificationStatus,DownloadStatus,Notes
CAD-0001,PLC,CPU,Siemens,SIMATIC S7-1200 classic,CPU 1212C DC/DC/DC,6ES7212-1AE40-0XB0,Exact catalog seed,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,ControlForgeCAD Siemens S7-1200 2017 source snapshot,Source-backed; current lifecycle/CAD files need Siemens verification,Not started,
CAD-0002,PLC,CPU,Siemens,SIMATIC S7-1200 classic,CPU 1214C DC/DC/DC,6ES7214-1AG40-0XB0,Exact catalog seed,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,ControlForgeCAD Siemens S7-1200 2017 source snapshot,Source-backed; current lifecycle/CAD files need Siemens verification,Not started,
CAD-0003,PLC,CPU,Siemens,SIMATIC S7-1200 classic,CPU 1215C DC/DC/DC,6ES7215-1AG40-0XB0,Exact catalog seed,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,ControlForgeCAD Siemens S7-1200 2017 source snapshot,Source-backed; current lifecycle/CAD files need Siemens verification,Not started,
CAD-0004,PLC,CPU,Siemens,SIMATIC S7-1200 classic,CPU 1212FC DC/DC/DC,6ES7212-1AF40-0XB0,Exact catalog seed,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,ControlForgeCAD Siemens S7-1200 2017 source snapshot,Source-backed; current lifecycle/CAD files need Siemens verification,Not started,
CAD-0005,PLC,CPU,Siemens,SIMATIC S7-1200 classic,CPU 1212C AC/DC/relay,6ES7212-1BE40-0XB0,Exact catalog seed,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,ControlForgeCAD Siemens S7-1200 2017 source snapshot,Source-backed; current lifecycle/CAD files need Siemens verification,Not started,
CAD-0006,PLC,CPU,Siemens,SIMATIC S7-1200 classic,CPU 1214C DC/DC/relay,Siemens CPU 1214C DC/DC/relay,Configuration required,2,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,User-requested library scope,Unselected; exact order number must be configured,Not started,Select exact supply/output variant.
CAD-0007,PLC,CPU,Siemens,SIMATIC S7-1200 classic,CPU 1215C DC/DC/relay,Siemens CPU 1215C DC/DC/relay,Configuration required,2,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,User-requested library scope,Unselected; exact order number must be configured,Not started,Select exact supply/output variant.
CAD-0008,PLC,CPU,Siemens,SIMATIC S7-1200 G2,CPU 1212C G2 DC/DC/DC,Siemens CPU 1212C G2 DC/DC/DC,Configuration required,2,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,User-requested library scope,Unselected; exact order number must be configured,Not started,Keep G2 assets and compatibility rules separate from classic S7-1200.
CAD-0009,PLC,CPU,Siemens,SIMATIC S7-1200 G2,CPU 1214C G2 DC/DC/DC,Siemens CPU 1214C G2 DC/DC/DC,Configuration required,2,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,User-requested library scope,Unselected; exact order number must be configured,Not started,Keep G2 assets and compatibility rules separate from classic S7-1200.
CAD-0010,PLC,CPU,Siemens,SIMATIC S7-1200 G2,S7-1200 G2 F-CPU,Siemens S7-1200 G2 F-CPU,Configuration required,2,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,User-requested library scope,Unselected; exact order number must be configured,Not started,Keep G2 assets and compatibility rules separate from classic S7-1200.
CAD-0011,PLC,Memory,Siemens,SIMATIC Memory Card,24 MB memory card,6ES7954-8LF03-0AA0,Exact catalog seed,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,ControlForgeCAD Siemens S7-1200 2017 source snapshot,Source-backed; current lifecycle/CAD files need Siemens verification,Not started,
CAD-0012,PLC,Memory,Siemens,SIMATIC Memory Card,Additional supported capacities,Siemens 6ES7954 memory card,Configuration required,3,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,User-requested library scope,Unselected; exact order number must be configured,Not started,
CAD-0013,PLC,Digital I/O,Siemens,SIMATIC S7-1200 SM,SM 1221 DI 8 24 VDC,6ES7221-1BF32-0XB0,Exact catalog seed,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,ControlForgeCAD Siemens S7-1200 2017 source snapshot,Source-backed; current lifecycle/CAD files need Siemens verification,Not started,
CAD-0014,PLC,Digital I/O,Siemens,SIMATIC S7-1200 SM,SM 1221 DI 16 24 VDC,6ES7221-1BH32-0XB0,Exact catalog seed,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,ControlForgeCAD Siemens S7-1200 2017 source snapshot,Source-backed; current lifecycle/CAD files need Siemens verification,Not started,
CAD-0015,PLC,Digital I/O,Siemens,SIMATIC S7-1200 SM,SM 1222 DQ 8 transistor,6ES7222-1BF32-0XB0,Exact catalog seed,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,ControlForgeCAD Siemens S7-1200 2017 source snapshot,Source-backed; current lifecycle/CAD files need Siemens verification,Not started,
CAD-0016,PLC,Digital I/O,Siemens,SIMATIC S7-1200 SM,SM 1222 DQ 16 transistor,6ES7222-1BH32-0XB0,Exact catalog seed,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,ControlForgeCAD Siemens S7-1200 2017 source snapshot,Source-backed; current lifecycle/CAD files need Siemens verification,Not started,
CAD-0017,PLC,Digital I/O,Siemens,SIMATIC S7-1200 SM,SM 1222 DQ 8 relay,6ES7222-1HF32-0XB0,Exact catalog seed,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,ControlForgeCAD Siemens S7-1200 2017 source snapshot,Source-backed; current lifecycle/CAD files need Siemens verification,Not started,
CAD-0018,PLC,Digital I/O,Siemens,SIMATIC S7-1200 SM,SM 1222 DQ 16 relay,6ES7222-1HH32-0XB0,Exact catalog seed,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,ControlForgeCAD Siemens S7-1200 2017 source snapshot,Source-backed; current lifecycle/CAD files need Siemens verification,Not started,
CAD-0019,PLC,Digital I/O,Siemens,SIMATIC S7-1200 SM,SM 1223 DI8/DQ8 transistor,6ES7223-1BH32-0XB0,Exact catalog seed,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,ControlForgeCAD Siemens S7-1200 2017 source snapshot,Source-backed; current lifecycle/CAD files need Siemens verification,Not started,
CAD-0020,PLC,Digital I/O,Siemens,SIMATIC S7-1200 SM,SM 1223 DI16/DQ16 transistor,Siemens SM 1223 DI16 DQ16 S7-1200,Configuration required,2,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,User-requested library scope,Unselected; exact order number must be configured,Not started,
CAD-0021,PLC,Analog and specialty I/O,Siemens,SIMATIC S7-1200 SM,SM 1231 AI 4 voltage/current,6ES7231-4HD32-0XB0,Exact catalog seed,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,ControlForgeCAD Siemens S7-1200 2017 source snapshot,Source-backed; current lifecycle/CAD files need Siemens verification,Not started,
CAD-0022,PLC,Analog and specialty I/O,Siemens,SIMATIC S7-1200 SM,SM 1231 AI 8 voltage/current,6ES7231-4HF32-0XB0,Exact catalog seed,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,ControlForgeCAD Siemens S7-1200 2017 source snapshot,Source-backed; current lifecycle/CAD files need Siemens verification,Not started,
CAD-0023,PLC,Analog and specialty I/O,Siemens,SIMATIC S7-1200 SM,SM 1231 RTD AI 4,6ES7231-5PD32-0XB0,Exact catalog seed,1,Required,Required,Required,Required,Required,Download if available,Not applicable,https://www.siemens.com/cax,ControlForgeCAD Siemens S7-1200 2017 source snapshot,Source-backed; current lifecycle/CAD files need Siemens verification,Not started,
